date,mortgage_30y,prime_rate,fed_funds
2004-12-01,5.84,4.25,2.25
2005-12-01,5.92,6.00,4.25
2006-12-01,6.41,8.25,5.25
2007-12-01,6.03,8.25,4.25
2008-12-01,5.04,6.00,0.25
2009-12-01,4.83,3.25,0.25
2010-12-01,4.69,3.25,0.25
2011-12-01,4.45,3.25,0.25
2012-12-01,3.66,3.25,0.25
2013-12-01,4.49,3.25,0.25
2014-12-01,4.17,3.25,0.25
2015-12-01,3.85,3.25,0.50
2016-12-01,3.94,3.50,0.50
2017-12-01,4.11,4.00,1.25
2018-12-01,4.55,5.50,2.50
2019-12-01,3.94,4.75,1.50
2020-12-01,3.29,3.25,0.25
2021-12-01,3.11,3.25,0.25
2022-12-01,6.61,6.25,4.25
2023-12-01,6.75,7.50,5.25
2024-12-01,6.89,8.00,5.50
